,face_width,face_height,eye_distance,mouth_width,jaw_width,face_ratio,eye_ratio,mouth_ratio,shoulder_width,left_upper_arm_length,left_forearm_length,left_total_arm_length,right_upper_arm_length,right_forearm_length,right_total_arm_length
face_width,1.0,0.976,0.9843,0.9149,0.9993,-0.3607,-0.2153,0.101,0.8903,0.7992,0.7173,0.7717,0.7813,0.7294,0.7673
face_height,0.976,1.0,0.961,0.9127,0.974,-0.5513,-0.2067,0.1455,0.9098,0.8389,0.7611,0.8141,0.8237,0.7741,0.8115
eye_distance,0.9843,0.961,1.0,0.9049,0.987,-0.3566,-0.0417,0.1126,0.8585,0.766,0.6831,0.7375,0.7476,0.6932,0.7319
mouth_width,0.9149,0.9127,0.9049,1.0,0.91,-0.4204,-0.1695,0.4895,0.8731,0.8175,0.744,0.7945,0.8025,0.7546,0.7908
jaw_width,0.9993,0.974,0.987,0.91,1.0,-0.3542,-0.1971,0.0909,0.8819,0.7875,0.7049,0.7595,0.7694,0.7167,0.7549
face_ratio,-0.3607,-0.5513,-0.3566,-0.4204,-0.3542,1.0,0.0633,-0.257,-0.5011,-0.5445,-0.5307,-0.5466,-0.5497,-0.539,-0.5524
eye_ratio,-0.2153,-0.2067,-0.0417,-0.1695,-0.1971,0.0633,1.0,0.0589,-0.2827,-0.2789,-0.2771,-0.2825,-0.2772,-0.2877,-0.2863
mouth_ratio,0.101,0.1455,0.1126,0.4895,0.0909,-0.257,0.0589,1.0,0.2289,0.286,0.2823,0.2888,0.2879,0.2814,0.2889
shoulder_width,0.8903,0.9098,0.8585,0.8731,0.8819,-0.5011,-0.2827,0.2289,1.0,0.9259,0.8588,0.9078,0.9208,0.8708,0.9097
left_upper_arm_length,0.7992,0.8389,0.766,0.8175,0.7875,-0.5445,-0.2789,0.286,0.9259,1.0,0.9363,0.9848,0.9764,0.942,0.9737
left_forearm_length,0.7173,0.7611,0.6831,0.744,0.7049,-0.5307,-0.2771,0.2823,0.8588,0.9363,1.0,0.9831,0.9339,0.9532,0.9567
left_total_arm_length,0.7717,0.8141,0.7375,0.7945,0.7595,-0.5466,-0.2825,0.2888,0.9078,0.9848,0.9831,1.0,0.9713,0.9629,0.9811
right_upper_arm_length,0.7813,0.8237,0.7476,0.8025,0.7694,-0.5497,-0.2772,0.2879,0.9208,0.9764,0.9339,0.9713,1.0,0.9438,0.987
right_forearm_length,0.7294,0.7741,0.6932,0.7546,0.7167,-0.539,-0.2877,0.2814,0.8708,0.942,0.9532,0.9629,0.9438,1.0,0.9846
right_total_arm_length,0.7673,0.8115,0.7319,0.7908,0.7549,-0.5524,-0.2863,0.2889,0.9097,0.9737,0.9567,0.9811,0.987,0.9846,1.0
