Feature_Group,Model,Num_Features,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1
A: Face Geometry,RF_Balanced,8,0.5545,0.2811,0.2762,0.2811,0.2784,0.5568
A: Face Geometry,SVM_Balanced,8,0.3738,0.265,0.269,0.265,0.2416,0.4344
B: Shoulder Geometry,RF_Balanced,1,0.3988,0.2388,0.2405,0.2388,0.2275,0.4467
B: Shoulder Geometry,SVM_Balanced,1,0.4891,0.2638,0.2486,0.2638,0.238,0.5009
C: Upper-Arm Lengths,RF_Balanced,2,0.4517,0.231,0.2336,0.231,0.229,0.4791
C: Upper-Arm Lengths,SVM_Balanced,2,0.2773,0.3265,0.3005,0.3265,0.2166,0.2995
D: Forearm Lengths,RF_Balanced,2,0.486,0.2521,0.25,0.2521,0.2471,0.5108
D: Forearm Lengths,SVM_Balanced,2,0.2648,0.3004,0.2883,0.3004,0.2073,0.2995
E: Arm-to-Shoulder Ratios,RF_Balanced,6,0.5358,0.2584,0.2576,0.2584,0.2578,0.541
E: Arm-to-Shoulder Ratios,SVM_Balanced,6,0.3769,0.323,0.2933,0.323,0.2666,0.4322
F: Face + Arm Features,RF_Balanced,11,0.5763,0.2863,0.2826,0.2863,0.2844,0.5733
F: Face + Arm Features,SVM_Balanced,11,0.4393,0.3068,0.2731,0.3068,0.2572,0.4882
G: All CV Features (15 Baseline),RF_Balanced,15,0.5981,0.2931,0.2935,0.2931,0.293,0.5882
G: All CV Features (15 Baseline),SVM_Balanced,15,0.4143,0.3001,0.2858,0.3001,0.2691,0.4646
H: Measurement-Only Baseline,RF_Balanced,6,0.8193,0.6154,0.6153,0.6154,0.6123,0.821
H: Measurement-Only Baseline,SVM_Balanced,6,0.7695,0.7626,0.6412,0.7626,0.6499,0.8066
Normalized CV (Ratios),RF_Balanced,10,0.5888,0.2746,0.2722,0.2746,0.2733,0.5816
Normalized CV (Ratios),SVM_Balanced,10,0.3458,0.2605,0.273,0.2605,0.2336,0.4079
