Feature_1,Feature_2,Correlation,Relationship
face_width,face_height,0.976,Redundant / Bilateral / Collinear
face_width,eye_distance,0.9843,Redundant / Bilateral / Collinear
face_width,mouth_width,0.9149,Redundant / Bilateral / Collinear
face_width,jaw_width,0.9993,Redundant / Bilateral / Collinear
face_width,shoulder_width,0.8903,Redundant / Bilateral / Collinear
face_height,eye_distance,0.961,Redundant / Bilateral / Collinear
face_height,mouth_width,0.9127,Redundant / Bilateral / Collinear
face_height,jaw_width,0.974,Redundant / Bilateral / Collinear
face_height,shoulder_width,0.9098,Redundant / Bilateral / Collinear
eye_distance,mouth_width,0.9049,Redundant / Bilateral / Collinear
eye_distance,jaw_width,0.987,Redundant / Bilateral / Collinear
eye_distance,shoulder_width,0.8585,Redundant / Bilateral / Collinear
mouth_width,jaw_width,0.91,Redundant / Bilateral / Collinear
mouth_width,shoulder_width,0.8731,Redundant / Bilateral / Collinear
jaw_width,shoulder_width,0.8819,Redundant / Bilateral / Collinear
shoulder_width,left_upper_arm_length,0.9259,Redundant / Bilateral / Collinear
shoulder_width,left_forearm_length,0.8588,Redundant / Bilateral / Collinear
shoulder_width,left_total_arm_length,0.9078,Redundant / Bilateral / Collinear
shoulder_width,right_upper_arm_length,0.9208,Redundant / Bilateral / Collinear
shoulder_width,right_forearm_length,0.8708,Redundant / Bilateral / Collinear
shoulder_width,right_total_arm_length,0.9097,Redundant / Bilateral / Collinear
left_upper_arm_length,left_forearm_length,0.9363,Redundant / Bilateral / Collinear
left_upper_arm_length,left_total_arm_length,0.9848,Redundant / Bilateral / Collinear
left_upper_arm_length,right_upper_arm_length,0.9764,Redundant / Bilateral / Collinear
left_upper_arm_length,right_forearm_length,0.942,Redundant / Bilateral / Collinear
left_upper_arm_length,right_total_arm_length,0.9737,Redundant / Bilateral / Collinear
left_forearm_length,left_total_arm_length,0.9831,Redundant / Bilateral / Collinear
left_forearm_length,right_upper_arm_length,0.9339,Redundant / Bilateral / Collinear
left_forearm_length,right_forearm_length,0.9532,Redundant / Bilateral / Collinear
left_forearm_length,right_total_arm_length,0.9567,Redundant / Bilateral / Collinear
left_total_arm_length,right_upper_arm_length,0.9713,Redundant / Bilateral / Collinear
left_total_arm_length,right_forearm_length,0.9629,Redundant / Bilateral / Collinear
left_total_arm_length,right_total_arm_length,0.9811,Redundant / Bilateral / Collinear
right_upper_arm_length,right_forearm_length,0.9438,Redundant / Bilateral / Collinear
right_upper_arm_length,right_total_arm_length,0.987,Redundant / Bilateral / Collinear
right_forearm_length,right_total_arm_length,0.9846,Redundant / Bilateral / Collinear
