,count,mean,std,min,25%,50%,75%,max,n_extreme_outliers
face_width,8494.0,249.726,38.56,129.403,222.283,243.591,270.754,572.462,18
face_height,8494.0,300.742,52.155,166.572,262.655,291.646,330.43,615.345,18
eye_distance,8494.0,167.626,25.312,69.079,150.324,163.563,180.403,409.925,18
mouth_width,8494.0,93.485,16.498,40.036,81.264,91.431,103.707,192.181,18
jaw_width,8494.0,254.033,38.825,129.547,226.61,247.468,274.632,586.384,18
face_ratio,8494.0,0.834,0.033,0.532,0.812,0.834,0.855,0.992,18
eye_ratio,8494.0,0.672,0.018,0.534,0.66,0.672,0.684,0.746,18
mouth_ratio,8494.0,0.374,0.029,0.265,0.355,0.37,0.389,0.545,18
shoulder_width,15191.0,568.725,558.15,1.777,148.635,467.085,582.545,2933.108,32
left_upper_arm_length,11320.0,452.361,137.811,47.16,369.645,432.652,503.137,2034.519,24
right_upper_arm_length,11789.0,496.811,223.23,23.819,382.675,449.259,524.528,2196.5,24
left_forearm_length,10713.0,385.295,95.517,8.175,321.427,381.119,439.735,1772.454,22
right_forearm_length,10741.0,382.624,92.773,84.827,317.533,377.299,439.433,1368.428,22
left_total_arm_length,10713.0,825.734,194.173,322.689,694.336,814.367,938.195,3698.499,22
right_total_arm_length,10741.0,832.408,192.597,349.662,697.0,820.367,945.318,2583.12,22
left_upper_arm_to_shoulder_ratio,11320.0,2.66,7.746,0.265,0.807,0.856,0.918,367.544,24
right_upper_arm_to_shoulder_ratio,11789.0,2.864,8.183,0.134,0.821,0.875,0.937,273.446,24
left_forearm_to_shoulder_ratio,10713.0,2.443,7.012,0.02,0.701,0.758,0.841,313.171,22
right_forearm_to_shoulder_ratio,10741.0,2.663,7.453,0.155,0.695,0.751,0.83,217.658,22
left_total_arm_to_shoulder_ratio,10713.0,5.213,14.951,0.312,1.521,1.617,1.75,680.716,22
right_total_arm_to_shoulder_ratio,10741.0,5.734,15.986,0.714,1.534,1.63,1.764,491.104,22
