model,class,index,precision,recall,f1,support
production,healthy,0,0.7054631828978623,0.9867109634551495,0.8227146814404432,301
production,stunted,1,0.0,0.0,0.0,12
production,stunted and underweight,2,0.0,0.0,0.0,45
production,underweight,3,0.375,0.04225352112676056,0.0759493670886076,71
v1_balanced_alpha_1.00,healthy,0,0.7116788321167883,0.6478405315614618,0.6782608695652174,301
v1_balanced_alpha_1.00,stunted,1,0.0,0.0,0.0,12
v1_balanced_alpha_1.00,stunted and underweight,2,0.1774193548387097,0.24444444444444444,0.205607476635514,45
v1_balanced_alpha_1.00,underweight,3,0.17307692307692307,0.1267605633802817,0.14634146341463414,71
alpha_0.25,healthy,0,0.7002341920374707,0.9933554817275747,0.8214285714285714,301
alpha_0.25,stunted,1,0.0,0.0,0.0,12
alpha_0.25,stunted and underweight,2,0.0,0.0,0.0,45
alpha_0.25,underweight,3,0.0,0.0,0.0,71
alpha_0.50,healthy,0,0.7325227963525835,0.8006644518272426,0.765079365079365,301
alpha_0.50,stunted,1,0.0,0.0,0.0,12
alpha_0.50,stunted and underweight,2,0.1896551724137931,0.24444444444444444,0.21359223300970873,45
alpha_0.50,underweight,3,0.1935483870967742,0.08450704225352113,0.11764705882352941,71
alpha_0.75,healthy,0,0.7062146892655368,0.8305647840531561,0.7633587786259542,301
alpha_0.75,stunted,1,0.0,0.0,0.0,12
alpha_0.75,stunted and underweight,2,0.2631578947368421,0.1111111111111111,0.15625,45
alpha_0.75,underweight,3,0.11320754716981132,0.08450704225352113,0.0967741935483871,71
