model,arm,phase,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
random_forest,no_resampling,validation,0.8050139275766016,0.5129679144385026,0.455502024291498,0.47099425190432026,0.7599958291749215,0.8050139275766016,0.7742103654805619,0.455502024291498
random_forest,no_resampling,test,0.8467966573816156,0.7178708133971292,0.5620948223199332,0.5913770590598634,0.8304482147379083,0.8467966573816156,0.8273485508941291,0.5620948223199332
svm_rbf,no_resampling,validation,0.8467966573816156,0.6893372252747252,0.5725856950067476,0.6054438995840501,0.8280458921301539,0.8467966573816156,0.8317565739561446,0.5725856950067476
svm_rbf,no_resampling,test,0.8885793871866295,0.8679824561403509,0.6319084899459028,0.6485540471488351,0.8894150417827298,0.8885793871866295,0.8723474319439379,0.6319084899459028
xgboost,no_resampling,validation,0.8217270194986073,0.6084604982164649,0.5426072874493927,0.5654796748940559,0.801256117909951,0.8217270194986073,0.808814628123267,0.5426072874493927
xgboost,no_resampling,test,0.8635097493036211,0.724392361111111,0.6106699789325027,0.6364643242633672,0.8514246750232126,0.8635097493036211,0.850278450563666,0.6106699789325027
random_forest,class_weights,validation,0.8050139275766016,0.5515024868206351,0.5319203778677464,0.538655882387958,0.7925674671075289,0.8050139275766016,0.7977207997438533,0.5319203778677464
random_forest,class_weights,test,0.8272980501392758,0.609452963368626,0.5949024553970654,0.597382256297919,0.8212416645564279,0.8272980501392758,0.82302355026589,0.5949024553970654
svm_rbf,class_weights,validation,0.7827298050139275,0.5757599156422738,0.6164358974358974,0.5775510091939009,0.8268147832820362,0.7827298050139275,0.800286753999652,0.6164358974358974
svm_rbf,class_weights,test,0.8328690807799443,0.6878666391940729,0.7635063097967345,0.6983462332301342,0.8793544267698136,0.8328690807799443,0.8498495419278985,0.7635063097967345
xgboost,class_weights,validation,0.7910863509749304,0.5687926917183708,0.6025303643724697,0.5804465966302226,0.8112129477086307,0.7910863509749304,0.8000666052078168,0.6025303643724697
xgboost,class_weights,test,0.8272980501392758,0.6235724165184746,0.6373968981768602,0.6276183446351513,0.8414432502852388,0.8272980501392758,0.8334193242154196,0.6373968981768602
random_forest,train_only_smote,validation,0.7966573816155988,0.5655793155793156,0.5626585695006747,0.5624176476753692,0.800984200705649,0.7966573816155988,0.7983852809418043,0.5626585695006747
random_forest,train_only_smote,test,0.8328690807799443,0.624387314439946,0.6211941461624404,0.6227134881548972,0.830938075851725,0.8328690807799443,0.8318890954301051,0.6211941461624404
svm_rbf,train_only_smote,validation,0.7771587743732591,0.5650062419365759,0.6063022941970311,0.5690742438514969,0.8175962349983569,0.7771587743732591,0.794121022798689,0.6063022941970311
svm_rbf,train_only_smote,test,0.8328690807799443,0.6952769940160581,0.729800056210963,0.6872034772301411,0.887458453053665,0.8328690807799443,0.8547370284251364,0.729800056210963
xgboost,train_only_smote,validation,0.8022284122562674,0.578630266075388,0.5720931174089069,0.568755887075194,0.820785904427796,0.8022284122562674,0.8092568443398581,0.5720931174089069
xgboost,train_only_smote,test,0.8356545961002786,0.6300634716873484,0.6417099862724466,0.6332689120305219,0.8447301673573838,0.8356545961002786,0.8396929478299296,0.6417099862724466
majority_baseline,baseline,validation,0.6963788300835655,0.17409470752089137,0.25,0.20525451559934318,0.4849434749885554,0.6963788300835655,0.5717395977697582,0.25
majority_baseline,baseline,test,0.6935933147632312,0.1733983286908078,0.25,0.20476973684210525,0.4810716862842467,0.6935933147632312,0.5681076821580413,0.25
