phase,arm,model,class,precision,recall,f1,support
validation,no_resampling,random_forest,healthy,0.8636363636363636,0.988,0.9216417910447762,250
validation,no_resampling,random_forest,stunted,0.0,0.0,0.0,13
validation,no_resampling,random_forest,stunted and underweight,0.6,0.3076923076923077,0.4067796610169492,39
validation,no_resampling,random_forest,underweight,0.5882352941176471,0.5263157894736842,0.5555555555555556,57
test,no_resampling,random_forest,healthy,0.8872727272727273,0.9799196787148594,0.9312977099236641,249
test,no_resampling,random_forest,stunted,0.5,0.07142857142857142,0.125,14
test,no_resampling,random_forest,stunted and underweight,0.8,0.5128205128205128,0.625,39
test,no_resampling,random_forest,underweight,0.6842105263157895,0.6842105263157895,0.6842105263157895,57
validation,no_resampling,svm_rbf,healthy,0.9010989010989011,0.984,0.9407265774378585,250
validation,no_resampling,svm_rbf,stunted,0.5,0.15384615384615385,0.23529411764705882,13
validation,no_resampling,svm_rbf,stunted and underweight,0.65625,0.5384615384615384,0.5915492957746479,39
validation,no_resampling,svm_rbf,underweight,0.7,0.6140350877192983,0.6542056074766355,57
test,no_resampling,svm_rbf,healthy,0.9285714285714286,0.9919678714859438,0.9592233009708738,249
test,no_resampling,svm_rbf,stunted,1.0,0.07142857142857142,0.13333333333333333,14
test,no_resampling,svm_rbf,stunted and underweight,0.7714285714285715,0.6923076923076923,0.7297297297297297,39
test,no_resampling,svm_rbf,underweight,0.7719298245614035,0.7719298245614035,0.7719298245614035,57
validation,no_resampling,xgboost,healthy,0.9029850746268657,0.968,0.9343629343629344,250
validation,no_resampling,xgboost,stunted,0.3333333333333333,0.15384615384615385,0.21052631578947367,13
validation,no_resampling,xgboost,stunted and underweight,0.59375,0.48717948717948717,0.5352112676056338,39
validation,no_resampling,xgboost,underweight,0.6037735849056604,0.5614035087719298,0.5818181818181818,57
test,no_resampling,xgboost,healthy,0.9166666666666666,0.9718875502008032,0.9434697855750487,249
test,no_resampling,xgboost,stunted,0.5,0.14285714285714285,0.2222222222222222,14
test,no_resampling,xgboost,stunted and underweight,0.7777777777777778,0.5384615384615384,0.6363636363636364,39
test,no_resampling,xgboost,underweight,0.703125,0.7894736842105263,0.743801652892562,57
validation,class_weights,random_forest,healthy,0.9066147859922179,0.932,0.9191321499013807,250
validation,class_weights,random_forest,stunted,0.125,0.07692307692307693,0.09523809523809523,13
validation,class_weights,random_forest,stunted and underweight,0.59375,0.48717948717948717,0.5352112676056338,39
validation,class_weights,random_forest,underweight,0.5806451612903226,0.631578947368421,0.6050420168067226,57
test,class_weights,random_forest,healthy,0.927710843373494,0.927710843373494,0.927710843373494,249
test,class_weights,random_forest,stunted,0.25,0.14285714285714285,0.18181818181818182,14
test,class_weights,random_forest,stunted and underweight,0.6388888888888888,0.5897435897435898,0.6133333333333333,39
test,class_weights,random_forest,underweight,0.6212121212121212,0.7192982456140351,0.6666666666666666,57
validation,class_weights,svm_rbf,healthy,0.9521739130434783,0.876,0.9125,250
validation,class_weights,svm_rbf,stunted,0.17647058823529413,0.46153846153846156,0.2553191489361702,13
validation,class_weights,svm_rbf,stunted and underweight,0.5806451612903226,0.46153846153846156,0.5142857142857142,39
validation,class_weights,svm_rbf,underweight,0.59375,0.6666666666666666,0.628099173553719,57
