child_id,tag,view,image_name,shoulder_width_ref,total_arm_area,left_arm_area,right_arm_area,left_arm_width,right_arm_width,left_arm_height,right_arm_height,left_arm_aspect_ratio,right_arm_aspect_ratio,total_arm_area_norm,left_arm_area_norm,right_arm_area_norm,left_arm_width_norm,right_arm_width_norm,left_arm_height_norm,right_arm_height_norm,num_arms_detected
1,IMG_20221103_112119_1,frontal1,IMG_20221103_112119_1_frontal1.jpg,524.9209472768918,4230.0,2049.0,2181.0,44.0,40.0,75.0,79.0,1.7045454545454546,1.975,0.015351561599814349,0.00743625288842071,0.00791530871139364,0.08382214546448713,0.07620195042226102,0.14287865704173944,0.15049885208396552,2
2,IMG_20221103_112803_2,frontal1,IMG_20221103_112803_2_frontal1.jpg,684.5036888914286,4732.0,2260.0,2472.0,55.0,56.0,72.0,91.0,1.309090909090909,1.625,0.010099343647091828,0.00482343969620193,0.005275903950889898,0.08035018786980377,0.08181110037652747,0.10518570048410675,0.13294303811185715,2
3,IMG_20221103_113616_3,frontal1,IMG_20221103_113616_3_frontal1.jpg,582.235610193321,4124.0,1880.0,2244.0,32.0,37.0,80.0,83.0,2.5,2.2432432432432434,0.012165252538785707,0.00554575042990231,0.006619502108883396,0.05496056826440926,0.06354815705572321,0.13740142066102315,0.1425539739358115,2
4,IMG_20221103_120128_4,frontal1,IMG_20221103_120128_4_frontal1.jpg,672.5436755933735,4779.0,2236.0,2543.0,42.0,47.0,81.0,84.0,1.9285714285714286,1.7872340425531914,0.010565645726304328,0.004943457594479279,0.0056221881318250485,0.0624494758097965,0.06988393721572465,0.12043827477603611,0.124898951619593,2
5,IMG_20221103_122212_5,frontal1,IMG_20221103_122212_5_frontal1.jpg,563.1531136223953,4829.0,2346.0,2483.0,37.0,46.0,81.0,81.0,2.189189189189189,1.7608695652173914,0.015226645126122294,0.007397330599685835,0.007829314526436457,0.06570149237390029,0.08168293646484899,0.14383299681853845,0.14383299681853845,2
6,IMG_20221103_122837_6,frontal1,IMG_20221103_122837_6_frontal1.jpg,669.4479908246404,6280.0,3113.0,3167.0,48.0,51.0,85.0,85.0,1.7708333333333333,1.6666666666666667,0.014012833403856898,0.00694617044366346,0.007066662960193439,0.07170086497813305,0.07618216903926638,0.1269702817321106,0.1269702817321106,2
7,IMG_20221103_123940_7,frontal1,IMG_20221103_123940_7_frontal1.jpg,668.9509559891698,4971.0,2725.0,2246.0,44.0,46.0,83.0,81.0,1.8863636363636365,1.7608695652173914,0.011108494534911513,0.0060894483217931745,0.005019046213118337,0.06577462758078838,0.06876438337991513,0.1240748656637599,0.12108510986463315,2
8,IMG_20221110_101308_8,frontal1,IMG_20221110_101308_8_frontal1.jpg,567.7252797412589,3985.0,2211.0,1774.0,42.0,37.0,70.0,70.0,1.6666666666666667,1.8918918918918919,0.012363796828431733,0.006859812995649326,0.005503983832782408,0.0739794430488308,0.06517236649539856,0.12329907174805135,0.12329907174805135,2
9,IMG_20221110_101801_9,frontal1,IMG_20221110_101801_9_frontal1.jpg,582.4739319237384,3342.0,1337.0,2005.0,32.0,43.0,65.0,73.0,2.03125,1.697674418604651,0.00985039073953053,0.003940745786580585,0.005909644952949943,0.05493808091001344,0.07382304622283056,0.1115929768484648,0.12532749707596816,2
10,IMG_20221110_102300_10,frontal1,IMG_20221110_102300_10_frontal1.jpg,559.7989903682632,3566.0,1827.0,1739.0,32.0,31.0,91.0,91.0,2.84375,2.935483870967742,0.011379341136004056,0.005830077469287552,0.005549263666716504,0.05716337569481652,0.0553770202043535,0.16255834963213447,0.16255834963213447,2
