epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou
1,0.65144,1.34981,0.06193,0.02817,0.03195,0.01428
2,0.42505,0.96898,0.50483,0.13011,0.33764,0.06958
3,0.3314,0.45952,0.64102,0.49371,0.4717,0.32776
4,0.25647,0.39678,0.71494,0.47167,0.55635,0.30862
5,0.21318,0.26661,0.73936,0.62821,0.5865,0.45795
6,0.18221,0.23907,0.76389,0.67234,0.61798,0.50641
7,0.14853,0.19498,0.80239,0.75329,0.66999,0.60422
8,0.13119,0.27209,0.81514,0.54922,0.68797,0.37857
9,0.12619,0.22028,0.82384,0.63326,0.70044,0.46333
10,0.11637,0.1771,0.83539,0.70539,0.71732,0.54486
11,0.10869,0.16085,0.83672,0.73537,0.71928,0.58149
12,0.10919,0.18502,0.83509,0.67727,0.71688,0.51202
13,0.10094,0.15629,0.84901,0.74295,0.73763,0.59103
14,0.09604,0.17616,0.85385,0.7001,0.74497,0.53858
15,0.09627,0.29292,0.85856,0.48851,0.75217,0.32319
16,0.08966,0.20303,0.86772,0.63918,0.76635,0.4697
17,0.08439,0.14522,0.86705,0.75275,0.7653,0.60353
